Rwanda,0,Group B,-2.0136 29.9188,Rwanda
San Marino,0,Group C,43.9365 12.4423,San Marino
Saudi Arabia,0,Group D,23.7603 45.0093,Saudi Arabia
Senegal,0,Group C,14.9983 -14.9588,Senegal
Serbia,0,Group A,44.2085 20.7935,Serbia
Sierra Leone,0,Group D,8.5306 -11.7953,Sierra Leone
Singapore,0,Group D,1.3565 103.8215,Singapore
Slovakia,0,Group B,48.7266 19.5075,Slovakia
Slovenia,0,Group C,46.152 15.1315,Slovenia
Somalia,0,Group B,2.7589 42.8847,Somalia
South Africa,0,Group C,-29.6482 23.1067,South Africa
South Sudan,0,Group D,7.2928 30.1985,South Sudan
Spain,0,Group D,40.3544 -3.611,Spain
Sri Lanka,0,Group B,7.7004 80.6672,Sri Lanka
Sudan,0,Group D,16.5644 29.0451,Sudan
Suriname,0,Group A,4.1199 -55.9116,Suriname
Sweden,1,Group C,58.581 14.246,Sweden
Switzerland,0,Group A,46.7919 8.1183,Switzerland
Syria,0,Group B,35.0126 38.5441,Syria
Taiwan,0,Group C,23.741 120.975,Taiwan
Tajikistan,0,Group B,38.3213 72.1918,Tajikistan
Tanzania,1,Group A,-5.6989 34.2839,Tanzania
Thailand,0,Group A,15.4439 100.9692,Thailand
Timor-Leste,0,Group A,-8.7676 125.9664,Timor-Leste
Togo,0,Group C,8.8015 0.9075,Togo
Trinidad and Tobago,0,Group C,10.4282 -61.3304,Trinidad and Tobago
Tunisia,0,Group A,33.7774 9.0109,Tunisia
Turkey,0,Group B,39.3196 34.3321,Turkey
Turkmenistan,0,Group C,39.4791 59.5154,Turkmenistan
Uganda,0,Group D,1.9676 32.9896,Uganda
Ukraine,0,Group B,48.8464 33.5486,Ukraine
United Arab Emirates,0,Group B,23.3865 54.2485,United Arab Emirates
United Kingdom,0,Group D,52.4072 -1.7451,United Kingdom
United States,1,Group D,39.382 -99.3421,United States
Uruguay,0,Group C,-88.7842,Uruguay
Uzbekistan,0,Group B,41.8936 63.8434,Uzbekistan
Vatican,0,Group A,41.9035 12.4535,Vatican
Venezuela,0,Group C,7.1583 -64.0124,Venezuela
Vietnam,0,Group C,21.5866 105.3047,Vietnam
Western Sahara,0,Group D,24.328 -13.735,Western Sahara
Yemen,0,Group B,15.3921 45.4111,Yemen
Zambia,0,Group D,-14.9226 26.1418,Zambia
Zimbabwe,0,Group A,-18.907 29.7885,Zimbabwe
